selection_rank,sample_id,dataset_index,char_length,word_count,pii_entity_count,pii_categories,detected_qi_categories,selection_rationale
19,ai4privacy_47355,15332,469,45,17,BUILDING; CITY; COUNTRY; DATE; EMAIL; IDCARD; IP; PASS; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
20,ai4privacy_53519B,29654,464,71,18,BOD; BUILDING; CITY; DRIVERLICENSE; GIVENNAME1; LASTNAME1; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; USERNAME,COMPOUND_QI; DATE; DEMOGRAPHIC; LOCATION,High-coverage multi-PII contextual document
21,ai4privacy_47189B,14931,359,38,24,BOD; BUILDING; CITY; COUNTRY; IDCARD; IP; LASTNAME1; PASS; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TITLE,DATE; LOCATION; MONEY,High-coverage multi-PII contextual document
22,ai4privacy_44951,9615,457,40,17,BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; GIVENNAME2; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
23,ai4privacy_48289B,17521,456,41,20,BUILDING; CITY; COUNTRY; DATE; EMAIL; GEOCOORD; GIVENNAME1; IDCARD; IP; LASTNAME1; POSTCODE; SECADDRESS; STATE; STREET; TEL; TIME; TITLE,DATE,High-coverage multi-PII contextual document
24,ai4privacy_49235B,19680,447,66,19,BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; IP; LASTNAME1; LASTNAME2; PASS; PASSPORT; POSTCODE; SEX; STATE; STREET; TEL; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
25,ai4privacy_51872,25724,385,44,26,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; GIVENNAME1; IP; PASS; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET; TEL; TIME; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
26,ai4privacy_40775B,17,462,67,20,BUILDING; CITY; COUNTRY; EMAIL; IDCARD; IP; LASTNAME1; LASTNAME2; LASTNAME3; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME; USERNAME,None,High-coverage multi-PII contextual document
27,ai4privacy_52610A,27418,505,69,15,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TIME; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
28,ai4privacy_48876A,18865,499,66,15,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; LASTNAME1; LASTNAME2; POSTCODE; SEX; STATE; STREET; TEL; TITLE; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
29,ai4privacy_48861A,18828,486,64,15,BOD; BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; POSTCODE; STATE; STREET; TEL; TITLE; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
30,ai4privacy_46308A,12769,481,59,15,BOD; BUILDING; CITY; COUNTRY; EMAIL; IDCARD; LASTNAME1; LASTNAME2; POSTCODE; SECADDRESS; SEX; STATE; STREET; TEL; TIME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
31,ai4privacy_42146A,3213,471,72,21,BOD; BUILDING; CITY; COUNTRY; LASTNAME1; LASTNAME2; PASS; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TIME; TITLE,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
32,ai4privacy_52871,28050,369,43,33,BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; LASTNAME1; LASTNAME2; PASS; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME; TITLE,LOCATION,High-coverage multi-PII contextual document
33,ai4privacy_48666B,18391,468,68,17,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; IDCARD; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TIME; TITLE; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
34,ai4privacy_41224A,1053,467,66,21,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; IDCARD; LASTNAME1; POSTCODE; SECADDRESS; SEX; STATE; STREET; TIME; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
35,ai4privacy_42539,4170,467,68,16,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; POSTCODE; STATE; STREET; TEL; TIME; TITLE,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
36,ai4privacy_51449B,24770,464,80,20,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; IDCARD; LASTNAME1; LASTNAME2; PASS; POSTCODE; SEX; STATE; STREET; TITLE; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
37,ai4privacy_45125B,10027,511,80,19,BOD; BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; IP; PASS; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET,DATE,High-coverage multi-PII contextual document
38,ai4privacy_41281A,1176,508,81,20,BUILDING; CITY; COUNTRY; DATE; EMAIL; IP; PASS; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TEL; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
39,ai4privacy_51236,24266,258,24,19,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; GEOCOORD; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TIME; TITLE,None,High-coverage multi-PII contextual document
40,ai4privacy_47610A,15924,349,28,17,BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; IP; LASTNAME1; LASTNAME2; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TIME,LOCATION,High-coverage multi-PII contextual document
41,ai4privacy_48342A,17637,495,62,16,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; GEOCOORD; GIVENNAME1; PASS; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TIME; TITLE; USERNAME,DATE,High-coverage multi-PII contextual document
42,ai4privacy_45037A,9825,489,64,18,BOD; BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; LASTNAME2; LASTNAME3; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET,DATE,High-coverage multi-PII contextual document
43,ai4privacy_45499B,10910,488,71,16,BOD; BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
44,ai4privacy_49108,19409,488,44,16,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; GIVENNAME1; LASTNAME1; LASTNAME2; PASS; POSTCODE; SECADDRESS; STATE; STREET; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
45,ai4privacy_44627B,8888,434,59,15,BOD; BUILDING; CITY; COUNTRY; GIVENNAME1; GIVENNAME2; IDCARD; LASTNAME1; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TEL; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
46,ai4privacy_49729,20809,333,40,31,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; IP; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TEL; TIME; TITLE; USERNAME,LOCATION,High-coverage multi-PII contextual document
47,ai4privacy_51878B,25734,483,75,20,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; IDCARD; IP; LASTNAME1; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
48,ai4privacy_52125A,26325,433,46,24,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; GIVENNAME2; IDCARD; PASSPORT; POSTCODE; SEX; STATE; STREET; TEL; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
49,ai4privacy_42315C,3632,481,53,27,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; GIVENNAME1; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME,DATE,High-coverage multi-PII contextual document
50,ai4privacy_45486,10874,375,56,15,BOD; BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; LASTNAME1; PASS; PASSPORT; POSTCODE; SEX; STATE; STREET; TIME,DATE; DEMOGRAPHIC; MONEY,High-coverage multi-PII contextual document
51,ai4privacy_49023A,19215,323,49,13,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; POSTCODE; SEX; STATE; STREET; TEL; TITLE; USERNAME,COMPOUND_QI; DATE; DEMOGRAPHIC; LOCATION,High-coverage multi-PII contextual document
52,ai4privacy_46482A,13213,472,61,23,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; IDCARD; IP; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL,DATE,High-coverage multi-PII contextual document
53,ai4privacy_48459B,17900,468,76,26,BOD; BUILDING; CITY; COUNTRY; GIVENNAME1; GIVENNAME2; IDCARD; LASTNAME1; LASTNAME2; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; USERNAME,DATE,High-coverage multi-PII contextual document
54,ai4privacy_40997B,522,465,68,17,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; LASTNAME1; LASTNAME2; LASTNAME3; PASS; PASSPORT; POSTCODE; SEX; STATE; STREET; TEL; TIME,DATE,High-coverage multi-PII contextual document
55,ai4privacy_48361B,17678,463,46,19,BOD; BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; IP; LASTNAME1; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TIME; TITLE,DATE,High-coverage multi-PII contextual document
56,ai4privacy_42053,3012,511,62,17,BOD; BUILDING; CITY; COUNTRY; DATE; IDCARD; LASTNAME1; LASTNAME2; LASTNAME3; PASS; PASSPORT; POSTCODE; STATE; STREET; TIME; TITLE; USERNAME,None,High-coverage multi-PII contextual document
57,ai4privacy_46382B,12967,459,65,17,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; GIVENNAME1; LASTNAME1; LASTNAME2; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME,DATE,High-coverage multi-PII contextual document
58,ai4privacy_52555A,27295,309,47,17,BOD; BUILDING; CITY; COUNTRY; GIVENNAME1; IDCARD; IP; LASTNAME1; LASTNAME2; LASTNAME3; PASS; PASSPORT; POSTCODE; SEX; STATE; STREET; TIME,DATE,High-coverage multi-PII contextual document
59,ai4privacy_45704B,11383,504,42,20,BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; LASTNAME2; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET; TIME; TITLE,None,High-coverage multi-PII contextual document
60,ai4privacy_49749A,20850,454,61,31,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; IP; LASTNAME1; LASTNAME2; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TIME; TITLE,DATE,High-coverage multi-PII contextual document
61,ai4privacy_51989,25999,454,73,17,BUILDING; CITY; COUNTRY; DATE; EMAIL; IDCARD; LASTNAME1; PASS; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
62,ai4privacy_52211B,26525,403,56,16,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TITLE; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
63,ai4privacy_41362C,1394,389,53,17,BOD; BUILDING; CITY; COUNTRY; IP; LASTNAME1; PASS; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TIME; TITLE,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
64,ai4privacy_45883,11799,482,74,18,BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; IDCARD; LASTNAME1; LASTNAME2; PASS; POSTCODE; SECADDRESS; SEX; STATE; STREET; TEL; TIME; USERNAME,None,High-coverage multi-PII contextual document
65,ai4privacy_48094,17056,432,43,16,BUILDING; CITY; DATE; DRIVERLICENSE; EMAIL; GIVENNAME1; GIVENNAME2; IP; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TIME; TITLE,DATE,High-coverage multi-PII contextual document
66,ai4privacy_41065A,692,431,68,20,BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; IDCARD; LASTNAME1; LASTNAME2; PASS; PASSPORT; POSTCODE; SEX; STATE; STREET; TEL; TIME,DATE,High-coverage multi-PII contextual document
67,ai4privacy_44370A,8293,477,52,21,BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GEOCOORD; GIVENNAME1; IP; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TIME; USERNAME,None,High-coverage multi-PII contextual document
68,ai4privacy_41526A,1749,476,71,19,BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; LASTNAME2; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TITLE,None,High-coverage multi-PII contextual document
69,ai4privacy_47333A,15273,425,69,25,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; IP; LASTNAME1; PASS; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET; TEL; TIME; TITLE,DATE,High-coverage multi-PII contextual document
70,ai4privacy_49240B,19686,423,48,28,BOD; BUILDING; CITY; COUNTRY; GIVENNAME1; LASTNAME1; LASTNAME2; PASS; PASSPORT; POSTCODE; SEX; STATE; STREET; TEL; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
71,ai4privacy_51985B,25985,420,55,16,BOD; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; IP; LASTNAME1; LASTNAME2; LASTNAME3; PASSPORT; POSTCODE; SEX; STATE; STREET; TIME,DATE,High-coverage multi-PII contextual document
72,ai4privacy_51186,24161,416,56,17,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; IDCARD; LASTNAME1; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TIME; TITLE,DATE,High-coverage multi-PII contextual document
73,ai4privacy_50390,22352,412,41,17,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; IP; LASTNAME1; LASTNAME2; PASS; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TIME,DATE,High-coverage multi-PII contextual document
74,ai4privacy_52193B,26487,409,42,28,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; IP; LASTNAME1; LASTNAME2; PASS; POSTCODE; SECADDRESS; SEX; STATE; STREET; TIME,DATE,High-coverage multi-PII contextual document
75,ai4privacy_42920A,5047,508,75,21,BOD; BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; POSTCODE; SECADDRESS; STATE; STREET; TIME; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
76,ai4privacy_45140A,10070,448,62,21,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; LASTNAME1; POSTCODE; SECADDRESS; SEX; STATE; STREET; TIME; USERNAME,None,High-coverage multi-PII contextual document
77,ai4privacy_44617B,8861,497,81,20,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; PASS; POSTCODE; SECADDRESS; SEX; STATE; STREET; TITLE,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
78,ai4privacy_44353A,8252,391,62,21,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; GIVENNAME1; GIVENNAME2; IDCARD; LASTNAME1; POSTCODE; STATE; STREET; TEL; TIME; TITLE; USERNAME,DATE,High-coverage multi-PII contextual document
79,ai4privacy_43698A,6798,440,61,17,BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; IDCARD; IP; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TIME; USERNAME,None,High-coverage multi-PII contextual document
80,ai4privacy_48093B,17055,288,26,21,BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; IP; LASTNAME1; LASTNAME2; POSTCODE; SECADDRESS; SEX; STATE; STREET; TEL; TIME; USERNAME,None,High-coverage multi-PII contextual document
81,ai4privacy_43806,7045,486,70,15,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; GIVENNAME1; IDCARD; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
82,ai4privacy_52809B,27899,483,71,25,BOD; BUILDING; CITY; COUNTRY; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; PASSPORT; POSTCODE; SEX; STATE; STREET; TIME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
83,ai4privacy_43866B,7189,479,63,14,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; IP; PASS; PASSPORT; POSTCODE; SOCIALNUMBER; STATE; STREET; TIME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
84,ai4privacy_46761A,13897,473,59,15,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; LASTNAME1; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
85,ai4privacy_46995A,14470,472,68,14,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; IP; LASTNAME1; PASS; POSTCODE; STATE; STREET; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
86,ai4privacy_42146B,3214,471,77,23,BOD; BUILDING; CITY; COUNTRY; LASTNAME1; PASS; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TIME; TITLE,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
87,ai4privacy_47383A,15398,467,68,16,BOD; BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; GIVENNAME2; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET; TITLE; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
88,ai4privacy_43251B,5768,512,67,16,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; GIVENNAME1; PASS; POSTCODE; SECADDRESS; SEX; STATE; STREET; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
89,ai4privacy_51793B,25549,510,83,22,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; IDCARD; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TIME; TITLE,DATE,High-coverage multi-PII contextual document
90,ai4privacy_42920B,5048,507,78,21,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; POSTCODE; SECADDRESS; STATE; STREET; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
91,ai4privacy_48305B,17548,506,61,15,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; IP; LASTNAME1; LASTNAME2; PASSPORT; POSTCODE; SEX; STATE; STREET; TIME,DATE,High-coverage multi-PII contextual document
92,ai4privacy_45151B,10096,453,71,15,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; IDCARD; IP; PASS; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
93,ai4privacy_44354C,8257,451,64,15,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; IDCARD; IP; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET; TEL,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
94,ai4privacy_46208B,12532,501,63,25,BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; LASTNAME2; PASS; PASSPORT; POSTCODE; STATE; STREET; TIME,DATE,High-coverage multi-PII contextual document
95,ai4privacy_46846A,14111,501,60,16,BUILDING; CITY; COUNTRY; DATE; EMAIL; IP; LASTNAME1; POSTCODE; SOCIALNUMBER; STATE; STREET; TEL; TIME; TITLE; USERNAME,DATE,High-coverage multi-PII contextual document
96,ai4privacy_53472B,29529,501,71,16,BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; LASTNAME1; PASSPORT; POSTCODE; STATE; STREET; TEL; TIME,DATE,High-coverage multi-PII contextual document
97,ai4privacy_46352A,12882,498,45,15,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; IP; PASSPORT; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
98,ai4privacy_46352C,12884,498,46,15,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; IP; PASSPORT; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME; USERNAME,DATE,High-coverage multi-PII contextual document
